選挙区,米収穫高t
北海道,514800
青森,263400
岩手,273100
宮城,371400
秋田,491100
山形,374100
福島,364100
茨城,358400
栃木,321800
群馬,78900
埼玉,155400
千葉,301400
東京,555
神奈川,15200
新潟,627600
富山,205900
石川,130300
福井,132500
山梨,26600
長野,199000
岐阜,107600
静岡,79900
愛知,137700
三重,137200
滋賀,162300
京都,72800
大阪,24700
兵庫,182000
奈良,44100
和歌山,31600
鳥取・島根,77700
岡山,156100
広島,122900
山口,103400
徳島・高知,52150
香川,59900
愛媛,69200
福岡,182900
佐賀,129300
長崎,57400
熊本,176200
大分,103700
宮崎,79400
鹿児島,92400
沖縄,2200
