選挙区,米収穫高t
北海道,629400
青森,302600
岩手,300300
宮城,398500
秋田,529100
山形,415300
福島,382600
茨城,414400
栃木,364500
群馬,89600
埼玉,170300
千葉,337500
東京,674
神奈川,15600
新潟,664300
富山,216800
石川,139400
福井,139400
山梨,29000
長野,217400
岐阜,122300
静岡,89100
愛知,157300
三重,156100
滋賀,176700
京都,82200
大阪,28300
兵庫,194300
奈良,48400
和歌山,37300
鳥取,73200
島根,98200
岡山,169500
広島,135200
山口,111500
徳島,65300
香川,73900
愛媛,75400
高知,58400
福岡,185400
佐賀,130600
長崎,63200
熊本,192800
大分,115200
宮崎,93600
鹿児島,114900
沖縄,2390
